interference_source,factor,evidence_screenshots,interference_source_cn,interference_source_en,factor_cn,factor_en
gnss_jammer,coverage_radius,gpsworld_jammer_max_effective_range_results.png; gpsworld_jammer_table4_ranges.png,GNSS 干扰器（以 GPS L1 为例）,GNSS jammer (GPS L1 as example),覆盖/影响半径,Coverage / influence radius
gnss_jammer,path_loss_factor,a2g_fspl_formula.png; stochastic_sir_alpha.png,GNSS 干扰器（以 GPS L1 为例）,GNSS jammer (GPS L1 as example),路径损耗参数（指数/模型系数）,Path-loss parameter (exponent/model coefficient)
gnss_jammer,activity,jammertest23_power_settings.png,GNSS 干扰器（以 GPS L1 为例）,GNSS jammer (GPS L1 as example),活动度/占空比/业务模型,Activity / duty cycle / traffic model
gnss_jammer,background_PPP,stochastic_ppp_3d.png,GNSS 干扰器（以 GPS L1 为例）,GNSS jammer (GPS L1 as example),背景 PPP 强度（λ）/空间密度,Background PPP intensity (λ) / spatial density
gnss_jammer,power_calibration_generation,a2g_fspl_formula.png,GNSS 干扰器（以 GPS L1 为例）,GNSS jammer (GPS L1 as example),功率标定/生成功率模型,Power calibration / power generation model
gnss_jammer,height_distribution,stochastic_ppp_3d.png,GNSS 干扰器（以 GPS L1 为例）,GNSS jammer (GPS L1 as example),高度分布/安装高度,Height distribution / installation height
industrial_device,frequency,fcc_15_247_902_928_band.png; lora_rp002_eu863_txpower_eirp.png,工业/物联网 ISM 设备发射机,Industrial/IoT ISM transmitter,频率/频段,Frequency / band
industrial_device,power_range,fcc_15_247_1watt.png; lora_rp002_eu863_txpower_eirp.png,工业/物联网 ISM 设备发射机,Industrial/IoT ISM transmitter,功率范围（Tx/EIRP）,Power range (Tx/EIRP)
industrial_device,coverage_radius,nature_lora_deployment_area_2_6km2.png,工业/物联网 ISM 设备发射机,Industrial/IoT ISM transmitter,覆盖/影响半径,Coverage / influence radius
industrial_device,path_loss_factor,a2g_fspl_formula.png; itu_p1238_N.png; itu_p1238_model.png; stochastic_sir_alpha.png,工业/物联网 ISM 设备发射机,Industrial/IoT ISM transmitter,路径损耗参数（指数/模型系数）,Path-loss parameter (exponent/model coefficient)
industrial_device,activity,cfr15_247_dwell_time_0_4s.png; lora_rp002_eu863_txpower_eirp.png,工业/物联网 ISM 设备发射机,Industrial/IoT ISM transmitter,活动度/占空比/业务模型,Activity / duty cycle / traffic model
industrial_device,background_PPP,stochastic_ppp_3d.png,工业/物联网 ISM 设备发射机,Industrial/IoT ISM transmitter,背景 PPP 强度（λ）/空间密度,Background PPP intensity (λ) / spatial density
industrial_device,power_calibration_generation,a2g_fspl_formula.png,工业/物联网 ISM 设备发射机,Industrial/IoT ISM transmitter,功率标定/生成功率模型,Power calibration / power generation model
industrial_device,height_distribution,nature_lora_aerial_gateway_heights_50_100_150m.png; nature_lora_height_advantage_area_statement.png; stochastic_ppp_3d.png,工业/物联网 ISM 设备发射机,Industrial/IoT ISM transmitter,高度分布/安装高度,Height distribution / installation height
satellite_ground,frequency,ku_buc_14ghz_power.png,卫星地面终端/VSAT 上行,Satellite ground terminal / VSAT uplink,频率/频段,Frequency / band
satellite_ground,power_range,ku_buc_14ghz_power.png,卫星地面终端/VSAT 上行,Satellite ground terminal / VSAT uplink,功率范围（Tx/EIRP）,Power range (Tx/EIRP)
satellite_ground,coverage_radius,MISSING,卫星地面终端/VSAT 上行,Satellite ground terminal / VSAT uplink,覆盖/影响半径,Coverage / influence radius
satellite_ground,path_loss_factor,a2g_fspl_formula.png; stochastic_sir_alpha.png,卫星地面终端/VSAT 上行,Satellite ground terminal / VSAT uplink,路径损耗参数（指数/模型系数）,Path-loss parameter (exponent/model coefficient)
satellite_ground,activity,MISSING,卫星地面终端/VSAT 上行,Satellite ground terminal / VSAT uplink,活动度/占空比/业务模型,Activity / duty cycle / traffic model
satellite_ground,background_PPP,stochastic_ppp_3d.png,卫星地面终端/VSAT 上行,Satellite ground terminal / VSAT uplink,背景 PPP 强度（λ）/空间密度,Background PPP intensity (λ) / spatial density
satellite_ground,power_calibration_generation,a2g_fspl_formula.png,卫星地面终端/VSAT 上行,Satellite ground terminal / VSAT uplink,功率标定/生成功率模型,Power calibration / power generation model
satellite_ground,height_distribution,stochastic_ppp_3d.png,卫星地面终端/VSAT 上行,Satellite ground terminal / VSAT uplink,高度分布/安装高度,Height distribution / installation height
